v1
v0.8.2
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Core i5-10600K CPU @ 4.10GHz,AMD Radeon RX 9070 XT (RADV GFX1201),32148228,7.0.1-cachyos,,performance
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
2417.34,0.413677,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,142679757
140.255,7.12985,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,149810519
123.235,8.11458,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,157927518
95.6663,10.453,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,168380743
196.605,5.08633,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,173468407
101.55,9.84739,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,183317803
169.692,5.89304,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,189210043
122.54,8.1606,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,197372187
124.684,8.02024,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,205392276
116.502,8.58356,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,213975864
139.59,7.16385,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,221141868
123.108,8.12298,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,229265836
123.601,8.09056,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,237358090
117.572,8.50541,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,245864891
141.268,7.07874,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,252945228
123.065,8.12576,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,261071671
124.782,8.01399,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,269085506
117.451,8.5142,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,277602143
142.535,7.0158,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,284617296
123.906,8.07065,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,292688107
123.366,8.10599,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,300796098
119.311,8.38144,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,309177533
140.772,7.1037,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,316282975
124.381,8.03983,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,324322720
123.837,8.07516,20.1637,0,0,76,0,350,0,0,0,9.90447,4.26865,0,4605,332398052
